Organiser,Organisation Addresses,Boroughs,Latitude,Longitude,Telephone Number,Type,Scheme Title,Website organiser,Scheme URL,Content,Business Issues,Categories,Funding Amounts,Funding Types,Permalink,Themes,Bio-technology,Business and Financial Services,Construction,Creative,Digital and IT,Health and Social Care,Hospitality,Life sciences,Medical,Retail and Wholesale,Science and Technology,Tourism and Leisure,Urban,Pre-Start ,Early Stage,Growth ,Mature,Micro,Small,Medium,Large
NC3Rs,"Gibbs Building, 215 Euston Rd, Kings Cross, London NW1 2BE",Camden,No latitude found,No longitude found,00 44 20 7611 2233,Investor/ Funding Org,NC3Rs Crack IT Challenges,https://nc3rs.org.uk/,https://nc3rs.org.uk/crackit/crack-it-challenges,"A challenge-led competition that funds collaborations between industry, academics and SMEs to solve business and scientific Challenges which will deliver scientific and  Replacement, Refinement, and Reduction of Animals in Research benefits, either by improving business processes or developing a commercial product. Depending on the Challenge, contracts of up to £1 million for up to three (3) years are available.",,,,,,,x,,,,x,,,,x,,x,,,x,x,x,x,x,x,,
The Arts Council,"21 Bloomsbury St, Fitzrovia, London WC1B 3HF",Camden,No latitude found,No longitude found,00 44 161 934 4317,Network/ Membership Org,The Arts Council Grant,https://www.artscouncil.org.uk,https://www.artscouncil.org.uk/funding/applying-grants-arts,"The Arts Council runs a rolling grants program to support cultural, art, theatre, event and other creative initiatives, it is reasonably substantial and is open for application by both organisations and individuals (there is no limitation on for-profit companies). The Arts Council England Funding programme offer between £1,000 and £100,000 (Grant requests of £15,000 or below take six weeks or less to get a decision, grants over £15,000 take 12 weeks or more to get a decision).",,,,,,,,,,x,,,,,,,,,,x,x,,,x,,,
Capital Enterprise,"69 Wilson St, Finsbury, London EC2A 2BB, UK",Islington,51.521843,-0.084997,00 44 20 7679 4598,Network/ Membership Org,Capital Enterprise P4 Precision Medicine Accelerator Program,http://capitalenterprise.org,http://www.p4precisionmedicine.co.uk/,"The programme seeks the worlds leading Precision Medicine startups to support through development, regulation, investment, adoption and scale to UK and international markets to innovate and advance the healthcare landscape. The programme curates an ecosystem of physical space and specialist to support precision medicine innovations to develop research into world leading technology, support to gain regulatory approval and adoption not only to the UK healthcare system but scale internationally.",,,,,,,x,,,,,x,,x,x,,,,,,x,x,x,x,x,x,
Argall Avenue,address not found,Waltham Forest,51.568596,-0.035951,telephone number not found,BID,,http://www.argallbid.co.uk/,,"Argall BID is a Business Improvement District in Leyton, east London that covers the established commercial zone around Argall Avenue.
The BID area includes Argall Avenue, Argall Way, Burwell Rd, Leaway, Rigg Approach and Staffa Rd, housing over 300 businesses across a variety of sectors.
They seek to guarantee baseline services provided by the Local Authority;  improve environmental conditions and accessibility; reduce crime; enhance profitability through marketing/promotion  and remove all barriers to trade for local businesses.",,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Beddington Industrial Area,"Martland Mill, Mart Lane, Burscough, Lancashire, United Kingdom, L40 0SD",Sutton,53.604213,-2.843383,telephone number not found,BID,,https://www.beddingtonforbusiness.co.uk,,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Cheapside Business Alliance,"Finsgate, 5-7 Cranwood Street, London, United Kingdom, EC1V 9EE",City of London,51.526926,-0.08735,telephone number not found,BID,,https://incheapside.com,,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Garratt Business Park,"33  Riverside Road, London, SW17 0BA",Wandsworth,51.433179,-0.189329,00 4 20 7193 1335,BID,,https://www.garrattbusinesspark.com,,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Hainault Business Park,"Office N 11-17 Fowler Road, Hainault Business Park, Hainault, Ilford, England, IG6 3UJ",Redbridge,51.608441,0.121013,telephone number not found,BID,,https://www.hainaultbusinesspark.com,,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Hammersmith BID,"C/O Mourant Governance Services (Uk) Limited, 1, Poultry, London, England, EC2R 8EJ",Hammersmith and Fulham,51.513336,-0.091105,telephone number not found,BID,,https://hammersmithbid.co.uk/,,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Harrow Town Centre,"31-33 College Road, Harrow, Middlesex, England, HA1 1EJ",Harrow,51.579857,-0.335209,00 44 20 8861 2282,BID,,https://www.harrowtowncentre.co.uk,,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Kimpton Industrial Estate,"Tanah-Loh 2 Ash Drive, Kimpton, Hitchin, Hertfordshire, SG4 8ES",Sutton,51.847389,-0.320266,telephone number not found,BID,,http://www.kippabidltd.co.uk,,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
London Riverside,address not found,Havering,No latitude found,No longitude found,telephone number not found,BID,,https://www.londonriversidebid.co.uk,,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Marble Arch London,"64 Baker Street, London, W1U 7GB",Westminster,51.5192,-0.155809,telephone number not found,BID,,https://marble-arch.london,,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
New West End Company,"Heddon House, Regent Street, London, England, W1B 4JD",Westminster,51.511443,-0.139491,0044 20 7462 0680,BID,,https://www.newwestend.com,,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
South Bank BID,"Elizabeth House, 39 York Road, London, England, SE1 7NQ",Southwark,51.50318,-0.115347,0044 20 7202 6900,BID,,https://southbankbid.co.uk,,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
We Are Waterloo,address not found,Lambeth,No latitude found,No longitude found,0044 20 7620 1201,BID,,https://wearewaterloo.co.uk,,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
West Ealing,"51  Craven Park Road, London, England, N15 6AH",Ealing,51.576691,-0.067654,telephone number not found,BID,,http://www.inwestealing.co.uk,,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Willow Lane,"149  Streatham Road, Mitcham, England, CR4 2AG",Merton,51.415613,-0.153394,telephone number not found,BID,,http://www.willowlane.org.uk,,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Disaled Entrepreneurs,"Edn Entrepreneurship & Diversity Network, 59 Rue De Ponthieu, Bureau 562, Paris, France, 75008",No borough found on the website,No latitude found,No longitude found,telephone number not found,Investor/ Funding Org,Disabled Entrepreneurs Mentoring,https://www.disabledentrepreneurs.co.uk/,https://www.disabledentrepreneurs.co.uk/collective-mentoring,"Team DE are pleased to offer business mentoring sessions.
The success of our mentoring model hinges on high caliber and very capable mentors that will be allocated to your business market if the mentor has experience in that industry.
They will then work closely with each and every business and assist them with growth.",,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Disaled Entrepreneurs,"Edn Entrepreneurship & Diversity Network, 59 Rue De Ponthieu, Bureau 562, Paris, France, 75008",No borough found on the website,No latitude found,No longitude found,telephone number not found,Investor/ Funding Org,Disabled Entrepreneurs Business Investment,https://www.disabledentrepreneurs.co.uk/,https://www.disabledentrepreneurs.co.uk/equity-investment,"They would like to announce financial business investments to all their entrepreneurs with any disability who have an inspirational start-up business idea or an established company, If you have the passion and motivation to succeed, they want to hear from you.",,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Business Disabilitiy Forum,"5 Sarum Complex, Salisbury Road, Uxbridge, United Kingdom, UB8 2RZ",Hillingdon,51.536382,-0.489593,0044 20 7403 3020,Network/ Membership Org,Business Disabilitiy Forum Membership Organisation,https://businessdisabilityforum.org.uk/,https://businessdisabilityforum.org.uk/about-us/,"Business Disability Forum is a not-for-profit membership organisation that makes it easier and more rewarding to do business with and employ disabled people.
By providing pragmatic support, sharing expertise, giving advice, providing training and facilitating networking opportunities, they help organisations become fully accessible to disabled customers and employees. ",,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Livability,"6  Mitre Passage, London, England, SE10 0ER",Greenwich,51.500721,0.00689,#ERROR!,Enterprise Agency,Livability Funding,https://livability.org.uk/,https://livability.org.uk/livability-1700-disabled-disadvantaged-people-set-business/,"The Livability Enterprise Agency, has received a 1.2 million funding boost to help around 1,700 more disabled and disadvantaged people realise their dream of becoming self-employed over the next 15 months.",,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
BBACT (Blind Business Association Charitable Trust),address not found,No borough found on the website,No latitude found,No longitude found,telephone number not found,Network/ Membership Org,BBACT Network,https://www.bbact.org.uk/,https://www.bbact.org.uk/,"If you’re blind or partially sighted and are considering starting a business or you are already in business and would like to be part of a growing community of entrepreneurs, the BBACT hope that this web site will provide you with useful, relevant and interesting information to assist you in achieving your business and personal goals.",,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Leonardcheshire,"66 South Lambeth Road, London, SW8 1RL",Lambeth,51.482889,-0.124022,telephone number not found,Investor/ Funding Org,Leonardcheshire Award,https://www.leonardcheshire.org/,https://www.leonardcheshire.org/what-we-can-do-you/working/employment-support-and-internships/awards-disabled-entrepreneurs,"Leonardchesire has awards for disabled entrepreneurs. Are you a budding entrepreneur with a clever business product or service? Have you already started a business or social enterprise, but need a little extra boost to move to the next level? Then the Stelios Awards 2019 wants to hear from you!",,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,x,x,,
ADP (The Association of Disabled Professionals),"Applethwaite Lodge, The Common, Windermere, England, LA23 1JQ",South Lakeland,54.387668,-2.891865,telephone number not found,Network/ Membership Org,ADB Business Support,https://www.adp.org.uk,https://www.adp.org.uk/business.php,"Since 2001, the ADP has been supporting disabled people, as well as people with long term health conditions, to set up in business through the Disabled Entrepreneurs' Network (DEN). The aim of DEN is to provide the information disabled people and people with long term health conditions need to start up and maintain their own business. DEN is committed to providing a variety of information for disabled entrepreneurs such as the provision of sign posting to other support, finance and training. Indeed, our work has been recognised on a national and international basis as a beacon of excellence.",,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
The Oli Bennett Charitable Trust,"Camelot, Penn Street Village, Amersham, Buckinghamshire, HP7 0PY",Chiltern,51.656242,-0.665207,telephone number not found,Investor/ Funding Org,The Oli Bennett Charitable Trust,http://olibennett.org.uk/,http://olibennett.org.uk/,"The aim is to provide financial support, where other methods of fundraising may have failed, and to offer advice. Grants will be considered for those applicants aged between 18 and up to 30 years old, and who are UK residents.",,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,x,x,,
Kaleidoscope Investments,"55  Old Church Lane, Stanmore, Middlesex, United Kingdom, HA7 2RG",Harrow,51.611171,-0.310883,0044 845 226 8318,Investor/ Funding Org,Kaleidoscope Investments,https://www.kaleidoscopeinvestments.com/,https://www.kaleidoscopeinvestments.com/,"Kaleidoscope Investments helps entrepreneurs with disabilities to realise their dream of running and growing their own business.
Ki provides on-going help, expertise and investment throughout the duration of the business life-cycle, nurturing and encouraging ideas, in order to best achieve lasting commercial success",,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
